"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"ENSG00000006047.13",46.393461386376,5.19343231707386,1.30621044407174,3.97595375281552,7.00977481436776e-05,0.00180844055075507,5.19343231707386
"ENSG00000187193.9",14124.6131371011,4.9092366341636,0.0581035147428494,84.4912163384705,0,0,4.9092366341636
"ENSG00000170385.10",20809.3340173101,4.19591849709542,0.0380848237228123,110.172979337754,0,0,4.19591849709542
"ENSG00000233929.1",47.7486277905229,3.51366997388965,0.57228695600342,6.13969956335796,8.26776982669353e-10,5.86571882704459e-08,3.51366997388965
"ENSG00000198417.7",5557.56205302279,3.25727614541992,0.065534558628159,49.7031827726436,0,0,3.25727614541992
"ENSG00000125144.14",234.019336334001,3.1883515346631,0.292537423396455,10.8989526797812,1.16591537743067e-27,2.59182988402837e-25,3.1883515346631
"ENSG00000143333.7",1554.38459916311,2.98138614671093,0.0871699443065707,34.2019966908043,2.25819667877638e-256,6.02396546030387e-253,2.98138614671093
"ENSG00000108551.5",200.488314995593,2.81700186680816,0.194112674305228,14.5121995608521,1.01415643089181e-47,4.66442016387414e-45,2.81700186680816
"ENSG00000118523.6",58.270462086236,2.640690731874,0.284179862603211,9.29232179818837,1.50958729956057e-20,2.48578708660974e-18,2.640690731874
"ENSG00000232803.1",117.384976698257,2.28668637814978,0.388539346607259,5.88534056619288,3.97235155852288e-09,2.62293193502862e-07,2.28668637814978
"ENSG00000119508.18",56.3310809558562,2.13062557281204,0.278489335223387,7.65065409453825,1.99959560037195e-14,2.16834196079358e-12,2.13062557281204
"ENSG00000120738.8",1481.08971088277,2.08949438758824,0.258783841539808,8.07428460430681,6.78733985572215e-16,8.30546229317633e-14,2.08949438758824
"ENSG00000232445.2",59.5445645532616,1.93816145835759,0.44607789932588,4.34489460537402,1.39342548316301e-05,0.000453305099864104,1.93816145835759
"ENSG00000173334.4",3996.72514171887,1.79160806164669,0.0538711269199582,33.2572968876012,1.60115738451557e-242,3.55937286577811e-239,1.79160806164669
"ENSG00000259820.1",1067.03045667447,1.77583971272819,0.0737960980783337,24.064141045007,5.93707239175045e-128,7.19897014192432e-125,1.77583971272819
"ENSG00000218281.1",47.48439339281,1.73885012347608,0.266706518239951,6.51971363486388,7.04417451773933e-11,5.43916698422619e-09,1.73885012347608
"ENSG00000123358.20",589.556302821825,1.71257737309226,0.100988831821457,16.9580867726049,1.67717139345061e-64,1.05130340956408e-61,1.71257737309226
"ENSG00000064300.9",172.208968362794,1.6926421136604,0.18924300851621,8.94427818988839,3.74388452101002e-19,5.36945502593888e-17,1.6926421136604
"ENSG00000114315.4",3238.40031738473,1.64770803241564,0.0462041195015708,35.6614962083548,1.56338327398402e-278,5.2131015270997e-275,1.64770803241564
"ENSG00000141622.14",521.183352095048,1.58064193394812,0.160987756725438,9.81839840556247,9.38222543099715e-23,1.62519639998234e-20,1.58064193394812
